meta_title;meta_min_months;meta_max_months;meta_description;week;week_title;week_description;gamification_welcome_title;gamification_welcome_message;gamification_badge_name;gamification_badge_description;gamification_progress_message;gamification_weekly_challenge_title;gamification_weekly_challenge_description;gamification_tips;gamification_closing_message_title;gamification_closing_message_message;gamification_registro_afetivo_question;gamification_registro_afetivo_options;gamification_personalized_message_title;gamification_personalized_message_message;domain_name;domain_question;domain_importance;domain_feedback_1;domain_feedback_2;domain_feedback_3;domain_activities;domain_alert_missing
1-2 meses;1;2;Descobrindo o Mundo - Sorrisos e Primeiras Interações 😊💕;5;Semana 5 - O Despertar Social! 🌟😊;Segunda semana após o primeiro mês: interações mais claras e sorrisos sociais;Bem-vindos ao segundo mês! 🎉;Que evolução linda! Agora seu bebê está mais acordado e começando a sorrir de verdade para você!;Primeiro Sorriso Social 😊🏆;Seu bebê está descobrindo como se comunicar com sorrisos!;Semana 1 de 4 - As interações estão ficando mais gostosas!;Desafio da Semana: Conversa de Bebê 👶💬;Quando seu bebê fizer sons, responda como se estivessem tendo uma conversa de verdade!;Seu bebê já consegue olhar nos seus olhos por mais tempo|Os sorrisos agora são respostas ao que você faz|Ele começa a reconhecer vozes familiares;Que conexão especial! 💕;Cada sorriso do seu bebê é um presente! Vocês estão construindo um vínculo lindo!;Como você se sente quando seu bebê sorri para você?;Derrete meu coração! 🥰|Fico emocionado(a) 😭💕|Me sinto amado(a) 💖|É a melhor sensação do mundo! 🌟;Você é o mundo do seu bebê:;Cada sorriso dele é uma forma de dizer 'eu te amo'! Continue sendo esse exemplo maravilhoso de carinho!;motor;Seu bebê consegue levantar e segurar a cabeça por mais tempo quando está de bruços?;Segurar a cabeça por mais tempo mostra que o pescoço está ficando bem mais forte!;💪 Incrível! O pescocinho dele está cada vez mais forte!;😊 Está melhorando! Continue colocando ele de bruços.;🤱 Continue estimulando. Cada bebê tem seu tempo para ficar forte.;Coloque ele de bruços por 3-5 minutos, várias vezes ao dia|Deite no chão com ele e converse para estimular|Use brinquedos coloridos na frente dele;Se o bebê não conseguir levantar nada a cabeça ou parecer muito fraco, converse com o pediatra.
1-2 meses;1;2;Descobrindo o Mundo - Sorrisos e Primeiras Interações 😊💕;5;Semana 5 - O Despertar Social! 🌟😊;Segunda semana após o primeiro mês: interações mais claras e sorrisos sociais;Bem-vindos ao segundo mês! 🎉;Que evolução linda! Agora seu bebê está mais acordado e começando a sorrir de verdade para você!;Primeiro Sorriso Social 😊🏆;Seu bebê está descobrindo como se comunicar com sorrisos!;Semana 1 de 4 - As interações estão ficando mais gostosas!;Desafio da Semana: Conversa de Bebê 👶💬;Quando seu bebê fizer sons, responda como se estivessem tendo uma conversa de verdade!;Seu bebê já consegue olhar nos seus olhos por mais tempo|Os sorrisos agora são respostas ao que você faz|Ele começa a reconhecer vozes familiares;Que conexão especial! 💕;Cada sorriso do seu bebê é um presente! Vocês estão construindo um vínculo lindo!;Como você se sente quando seu bebê sorri para você?;Derrete meu coração! 🥰|Fico emocionado(a) 😭💕|Me sinto amado(a) 💖|É a melhor sensação do mundo! 🌟;Você é o mundo do seu bebê:;Cada sorriso dele é uma forma de dizer 'eu te amo'! Continue sendo esse exemplo maravilhoso de carinho!;cognitive;Seu bebê olha para você e acompanha quando você se move?;Acompanhar seus movimentos mostra que ele está prestando atenção e aprendendo!;👀 Perfeito! Ele está muito interessado em você!;😊 Às vezes acompanha, às vezes não. Continue chamando atenção.;💡 Continue se movendo devagar perto dele e conversando.;Mova-se devagar de um lado para outro enquanto conversa|Use objetos coloridos e mova eles lentamente|Faça caretas e expressões diferentes;Se o bebê nunca acompanhar nada com os olhos, procure o pediatra.
1-2 meses;1;2;Descobrindo o Mundo - Sorrisos e Primeiras Interações 😊💕;5;Semana 5 - O Despertar Social! 🌟😊;Segunda semana após o primeiro mês: interações mais claras e sorrisos sociais;Bem-vindos ao segundo mês! 🎉;Que evolução linda! Agora seu bebê está mais acordado e começando a sorrir de verdade para você!;Primeiro Sorriso Social 😊🏆;Seu bebê está descobrindo como se comunicar com sorrisos!;Semana 1 de 4 - As interações estão ficando mais gostosas!;Desafio da Semana: Conversa de Bebê 👶💬;Quando seu bebê fizer sons, responda como se estivessem tendo uma conversa de verdade!;Seu bebê já consegue olhar nos seus olhos por mais tempo|Os sorrisos agora são respostas ao que você faz|Ele começa a reconhecer vozes familiares;Que conexão especial! 💕;Cada sorriso do seu bebê é um presente! Vocês estão construindo um vínculo lindo!;Como você se sente quando seu bebê sorri para você?;Derrete meu coração! 🥰|Fico emocionado(a) 😭💕|Me sinto amado(a) 💖|É a melhor sensação do mundo! 🌟;Você é o mundo do seu bebê:;Cada sorriso dele é uma forma de dizer 'eu te amo'! Continue sendo esse exemplo maravilhoso de carinho!;sensory;Seu bebê se acalma quando ouve música ou sua voz?;Se acalmar com sons mostra que ele está ouvindo e reconhecendo o que é gostoso!;🎵 Que lindo! Ele reconhece e gosta da sua voz!;👂 Continue cantando e falando. Ele está aprendendo a se acalmar.;😌 Experimente músicas mais suaves e sua voz mais calma.;Cante músicas de ninar quando ele estiver agitado|Fale com voz calma e carinhosa|Toque músicas suaves durante o dia;Se o bebê nunca reagir a sons ou música, converse com o pediatra sobre a audição.
1-2 meses;1;2;Descobrindo o Mundo - Sorrisos e Primeiras Interações 😊💕;5;Semana 5 - O Despertar Social! 🌟😊;Segunda semana após o primeiro mês: interações mais claras e sorrisos sociais;Bem-vindos ao segundo mês! 🎉;Que evolução linda! Agora seu bebê está mais acordado e começando a sorrir de verdade para você!;Primeiro Sorriso Social 😊🏆;Seu bebê está descobrindo como se comunicar com sorrisos!;Semana 1 de 4 - As interações estão ficando mais gostosas!;Desafio da Semana: Conversa de Bebê 👶💬;Quando seu bebê fizer sons, responda como se estivessem tendo uma conversa de verdade!;Seu bebê já consegue olhar nos seus olhos por mais tempo|Os sorrisos agora são respostas ao que você faz|Ele começa a reconhecer vozes familiares;Que conexão especial! 💕;Cada sorriso do seu bebê é um presente! Vocês estão construindo um vínculo lindo!;Como você se sente quando seu bebê sorri para você?;Derrete meu coração! 🥰|Fico emocionado(a) 😭💕|Me sinto amado(a) 💖|É a melhor sensação do mundo! 🌟;Você é o mundo do seu bebê:;Cada sorriso dele é uma forma de dizer 'eu te amo'! Continue sendo esse exemplo maravilhoso de carinho!;communication;Seu bebê faz sons como 'ah', 'eh' e 'oh' quando está contente?;Fazer sons quando está feliz mostra que ele está aprendendo a expressar sentimentos!;🗣️ Que maravilha! Ele está conversando com você!;💬 Continue conversando. Ele está aprendendo a responder.;😊 Seja paciente. Logo ele vai fazer mais sons para você.;Responda aos sons dele como se fosse uma conversa|Faça sons de volta: 'ah', 'oh', 'eh'|Converse sempre durante os cuidados;Se o bebê só chorar e nunca fizer outros sons, fale com o pediatra.
1-2 meses;1;2;Descobrindo o Mundo - Sorrisos e Primeiras Interações 😊💕;5;Semana 5 - O Despertar Social! 🌟😊;Segunda semana após o primeiro mês: interações mais claras e sorrisos sociais;Bem-vindos ao segundo mês! 🎉;Que evolução linda! Agora seu bebê está mais acordado e começando a sorrir de verdade para você!;Primeiro Sorriso Social 😊🏆;Seu bebê está descobrindo como se comunicar com sorrisos!;Semana 1 de 4 - As interações estão ficando mais gostosas!;Desafio da Semana: Conversa de Bebê 👶💬;Quando seu bebê fizer sons, responda como se estivessem tendo uma conversa de verdade!;Seu bebê já consegue olhar nos seus olhos por mais tempo|Os sorrisos agora são respostas ao que você faz|Ele começa a reconhecer vozes familiares;Que conexão especial! 💕;Cada sorriso do seu bebê é um presente! Vocês estão construindo um vínculo lindo!;Como você se sente quando seu bebê sorri para você?;Derrete meu coração! 🥰|Fico emocionado(a) 😭💕|Me sinto amado(a) 💖|É a melhor sensação do mundo! 🌟;Você é o mundo do seu bebê:;Cada sorriso dele é uma forma de dizer 'eu te amo'! Continue sendo esse exemplo maravilhoso de carinho!;social_emotional;Seu bebê sorri de volta quando você sorri para ele?;Sorrir de volta é o primeiro sinal claro de que ele reconhece e ama você!;😊 Que momento mágico! Esse é o sorriso social!;☺️ Às vezes sorri! Continue fazendo caretas alegres.;🤗 Continue sorrindo para ele. Os sorrisos vão aparecer!;Sorria muito e faça caretas engraçadas|Use vozes alegres e animadas|Brinque de 'achou!' aparecer e esconder;Se ao final de 2 meses o bebê não esboçar sorrisos sociais, converse com o pediatra.
1-2 meses;1;2;Descobrindo o Mundo - Sorrisos e Primeiras Interações 😊💕;5;Semana 5 - O Despertar Social! 🌟😊;Segunda semana após o primeiro mês: interações mais claras e sorrisos sociais;Bem-vindos ao segundo mês! 🎉;Que evolução linda! Agora seu bebê está mais acordado e começando a sorrir de verdade para você!;Primeiro Sorriso Social 😊🏆;Seu bebê está descobrindo como se comunicar com sorrisos!;Semana 1 de 4 - As interações estão ficando mais gostosas!;Desafio da Semana: Conversa de Bebê 👶💬;Quando seu bebê fizer sons, responda como se estivessem tendo uma conversa de verdade!;Seu bebê já consegue olhar nos seus olhos por mais tempo|Os sorrisos agora são respostas ao que você faz|Ele começa a reconhecer vozes familiares;Que conexão especial! 💕;Cada sorriso do seu bebê é um presente! Vocês estão construindo um vínculo lindo!;Como você se sente quando seu bebê sorri para você?;Derrete meu coração! 🥰|Fico emocionado(a) 😭💕|Me sinto amado(a) 💖|É a melhor sensação do mundo! 🌟;Você é o mundo do seu bebê:;Cada sorriso dele é uma forma de dizer 'eu te amo'! Continue sendo esse exemplo maravilhoso de carinho!;nutrition;Seu bebê mama com mais tranquilidade e fica satisfeito?;Mamar com calma mostra que ele está aprendendo a se alimentar melhor!;🍼 Ótimo! Ele está virando um expert em mamar!;😋 Continue deixando ele mamar no ritmo dele.;🤱 Se ele ainda fica muito agitado, tente ambientes mais calmos.;Deixe ele mamar em lugar calmo e sem barulho|Faça carinho enquanto ele mama|Observe se ele está engolindo bem;Se o bebê não conseguir mamar ou engasgar muito, procure ajuda médica.
1-2 meses;1;2;Descobrindo o Mundo - Sorrisos e Primeiras Interações 😊💕;5;Semana 5 - O Despertar Social! 🌟😊;Segunda semana após o primeiro mês: interações mais claras e sorrisos sociais;Bem-vindos ao segundo mês! 🎉;Que evolução linda! Agora seu bebê está mais acordado e começando a sorrir de verdade para você!;Primeiro Sorriso Social 😊🏆;Seu bebê está descobrindo como se comunicar com sorrisos!;Semana 1 de 4 - As interações estão ficando mais gostosas!;Desafio da Semana: Conversa de Bebê 👶💬;Quando seu bebê fizer sons, responda como se estivessem tendo uma conversa de verdade!;Seu bebê já consegue olhar nos seus olhos por mais tempo|Os sorrisos agora são respostas ao que você faz|Ele começa a reconhecer vozes familiares;Que conexão especial! 💕;Cada sorriso do seu bebê é um presente! Vocês estão construindo um vínculo lindo!;Como você se sente quando seu bebê sorri para você?;Derrete meu coração! 🥰|Fico emocionado(a) 😭💕|Me sinto amado(a) 💖|É a melhor sensação do mundo! 🌟;Você é o mundo do seu bebê:;Cada sorriso dele é uma forma de dizer 'eu te amo'! Continue sendo esse exemplo maravilhoso de carinho!;baby_health;Seu bebê fica acordado por períodos mais longos durante o dia?;Ficar mais tempo acordado mostra que ele está se desenvolvendo e ficando mais esperto!;⏰ Perfeito! Ele está mais alerta e curioso!;😴 Cada bebê tem seu ritmo. Continue estimulando quando acordado.;👶 Aproveite os momentos acordados para brincar e conversar.;Aproveite quando estiver acordado para conversar|Mostre objetos coloridos e interessantes|Mude ele de posição para ver coisas diferentes;Se o bebê dormir demais e nunca ficar acordado, procure orientação médica.
1-2 meses;1;2;Descobrindo o Mundo - Sorrisos e Primeiras Interações 😊💕;5;Semana 5 - O Despertar Social! 🌟😊;Segunda semana após o primeiro mês: interações mais claras e sorrisos sociais;Bem-vindos ao segundo mês! 🎉;Que evolução linda! Agora seu bebê está mais acordado e começando a sorrir de verdade para você!;Primeiro Sorriso Social 😊🏆;Seu bebê está descobrindo como se comunicar com sorrisos!;Semana 1 de 4 - As interações estão ficando mais gostosas!;Desafio da Semana: Conversa de Bebê 👶💬;Quando seu bebê fizer sons, responda como se estivessem tendo uma conversa de verdade!;Seu bebê já consegue olhar nos seus olhos por mais tempo|Os sorrisos agora são respostas ao que você faz|Ele começa a reconhecer vozes familiares;Que conexão especial! 💕;Cada sorriso do seu bebê é um presente! Vocês estão construindo um vínculo lindo!;Como você se sente quando seu bebê sorri para você?;Derrete meu coração! 🥰|Fico emocionado(a) 😭💕|Me sinto amado(a) 💖|É a melhor sensação do mundo! 🌟;Você é o mundo do seu bebê:;Cada sorriso dele é uma forma de dizer 'eu te amo'! Continue sendo esse exemplo maravilhoso de carinho!;maternal_self_care;Você está conseguindo descansar um pouco melhor?;Descansar melhor ajuda você a ter mais energia para aproveitar os momentos com o bebê!;😴 Que bom! Você está conseguindo se cuidar!;🛌 Continue tentando descansar sempre que possível.;💪 Lembre-se: pedir ajuda não é fraqueza!;Durma quando o bebê dormir, mesmo durante o dia|Aceite ajuda de familiares para cuidar do bebê|Faça atividades que te relaxam quando der;Se você não conseguir descansar nada ou se sentir muito cansada, peça ajuda.
1-2 meses;1;2;Descobrindo o Mundo - Sorrisos e Primeiras Interações 😊💕;5;Semana 5 - O Despertar Social! 🌟😊;Segunda semana após o primeiro mês: interações mais claras e sorrisos sociais;Bem-vindos ao segundo mês! 🎉;Que evolução linda! Agora seu bebê está mais acordado e começando a sorrir de verdade para você!;Primeiro Sorriso Social 😊🏆;Seu bebê está descobrindo como se comunicar com sorrisos!;Semana 1 de 4 - As interações estão ficando mais gostosas!;Desafio da Semana: Conversa de Bebê 👶💬;Quando seu bebê fizer sons, responda como se estivessem tendo uma conversa de verdade!;Seu bebê já consegue olhar nos seus olhos por mais tempo|Os sorrisos agora são respostas ao que você faz|Ele começa a reconhecer vozes familiares;Que conexão especial! 💕;Cada sorriso do seu bebê é um presente! Vocês estão construindo um vínculo lindo!;Como você se sente quando seu bebê sorri para você?;Derrete meu coração! 🥰|Fico emocionado(a) 😭💕|Me sinto amado(a) 💖|É a melhor sensação do mundo! 🌟;Você é o mundo do seu bebê:;Cada sorriso dele é uma forma de dizer 'eu te amo'! Continue sendo esse exemplo maravilhoso de carinho!;maternal_health;Você está se sentindo mais confiante com os cuidados do bebê?;Ganhar confiança é normal! Mostra que você está aprendendo e se tornando expert!;💪 Incrível! Você está se tornando uma super mãe/cuidadora!;😊 A confiança vem com a prática. Você está indo muito bem!;🤗 É normal ter dúvidas. Continue confiando no seu instinto!;Celebre as pequenas conquistas do dia a dia|Converse com outras mães sobre experiências|Confie nos sinais que o bebê te dá;Se você se sentir muito insegura ou ansiosa, procure conversar com alguém de confiança.
1-2 meses;1;2;Descobrindo o Mundo - Sorrisos e Primeiras Interações 😊💕;6;Semana 6 - Movimentos e Sons! 🤸💬;Mais movimento, mais sons e interações cada vez melhores;Sexta semana de puro amor! 💖;Seu bebê está cada vez mais ativo! Agora ele se mexe mais e faz mais sons!;Pequeno Comunicador 🗣️🏆;Vocês estão se comunicando cada vez melhor!;Semana 2 de 4 - A personalidade dele está aparecendo!;Desafio da Semana: Brincar de Espelho 🪞;Mostre o bebê no espelho e veja como ele reage ao próprio reflexo!;Ele pode começar a segurar objetos por alguns segundos|Os sons estão ficando mais variados|Ele pode tentar 'conversar' quando você fala;Cada dia uma novidade! 🌈;Seu bebê está crescendo tão rápido! Continue aproveitando cada momento especial!;O que mais te emociona no desenvolvimento do seu bebê?;Os sorrisos dele 😊|Quando ele me 'escuta' 👂|Ver ele crescendo forte 💪|Nossa conexão especial 💕;Você é incrível:;Seu amor e dedicação estão ajudando seu bebê a se desenvolver de forma maravilhosa!;motor;Seu bebê mexe braços e pernas com mais força e coordenação?;Movimentos mais fortes mostram que os músculos estão se desenvolvendo bem!;🤸 Ótimo! Ele está ficando mais forte e coordenado!;💪 Está melhorando! Continue deixando ele se mexer livremente.;😊 Continue estimulando com carinhos e brincadeiras.;Deixe ele sem roupa por alguns minutos para se mexer|Faça 'bicicleta' gentil com as pernas dele|Toque suas mãos nos pés dele para estimular;Se o bebê se mexer muito pouco ou só de um lado, converse com o pediatra.
